subid,itemid,trialnum,adjective,noun,article,adj_article,rating,date,timestamp,reactiontime
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,33,brown,stick,a,a,3,5/8/2023,18:41:04,1368
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,34,dozen,rig,a,a,8,5/8/2023,18:41:07,2607
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,35,bridge,piece,a,a,3,5/8/2023,18:41:09,1836
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,0,sandwich,box,a,a,3,5/8/2023,20:19:35,55962
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,1,giant,fish,a,a,2,5/8/2023,20:19:42,6658
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,2,colored,ring,a,a,2,5/8/2023,20:19:54,12226
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,3,silver,wedding,a,a,2,5/8/2023,20:20:00,5509
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,4,daddy,phone,a,a,1,5/8/2023,20:20:20,19532
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,5,farm,vehicle,a,a,3,5/8/2023,20:20:29,8317
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,6,yellow,zucchini,a,a,2,5/8/2023,20:20:57,27941
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,7,bleeding,crumpet,a,a,1,5/8/2023,20:21:33,35225
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,8,write,mommy,a,a,8,5/8/2023,20:21:59,26137
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,9,strawberry,oatmeal,NA,NA,3,5/8/2023,20:22:22,22466
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,10,NA,NA,NA,NA,5,5/8/2023,20:22:28,4989
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,11,garlic,powder,NA,NA,3,5/8/2023,20:22:40,11514
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,12,hot,mark,a,a,2,5/8/2023,20:22:58,18268
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,13,wooden,train,a,a,3,5/8/2023,20:23:05,6084
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,14,orange,pumpkin,a,an,4,5/8/2023,20:23:24,18692
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,15,pumpkin,face,a,a,2,5/8/2023,20:23:33,9202
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,16,toy,basket,a,a,3,5/8/2023,20:28:02,267989
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,17,dome,car,a,a,2,5/8/2023,20:28:26,23532
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,18,limp,sheep,a,a,2,5/8/2023,20:28:37,10805
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,19,outside,room,a,an,2,5/8/2023,20:28:52,14556
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,20,earth,worm,a,an,4,5/8/2023,20:29:29,36917
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,21,scooter,game,a,a,2,5/8/2023,20:29:42,11929
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,22,fat,body,a,a,3,5/8/2023,20:30:00,17803
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,23,ear,daddy,a,an,8,5/8/2023,20:30:07,7214
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,24,bite,mark,a,a,2,5/8/2023,20:30:15,7075
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,25,snow,tire,a,a,3,5/8/2023,20:30:24,8493
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,26,red,bag,a,a,3,5/8/2023,20:30:41,16547
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,27,frog,sleeping,NA,NA,2,5/8/2023,20:30:49,8138
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,28,bright,light,a,a,3,5/8/2023,20:31:11,21383
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,29,round,skull,a,a,3,5/8/2023,20:31:33,21731
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,30,football,game,a,a,3,5/8/2023,20:31:52,17949
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,31,outside,rocket,a,an,5,5/8/2023,20:32:07,14792
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,32,navy,stripe,a,a,2,5/8/2023,20:32:20,12757
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,33,worm,mucus,a,a,2,5/8/2023,20:32:33,12563
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,34,ear,ring,a,an,2,5/8/2023,20:32:45,11348
8483-5ca010d2-a822-4ff7-a06b-0b8169f2173c,115,35,tiger,mom,a,a,2,5/8/2023,20:33:35,49477
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,0,room,door,a,a,3,5/8/2023,16:57:31,3393
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,1,hand,mom,a,a,8,5/8/2023,16:57:34,2519
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,2,puzzle,piece,a,a,3,5/8/2023,16:57:36,2196
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,3,dark,screen,a,a,3,5/8/2023,16:57:39,2007
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,4,bear,mask,a,a,3,5/8/2023,16:57:41,2311
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,5,blood,test,a,a,2,5/8/2023,16:57:45,3198
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,6,orange,necklace,a,an,2,5/8/2023,16:57:48,2173
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,7,pee,diaper,a,a,3,5/8/2023,16:57:51,2664
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,8,apple,head,a,an,1,5/8/2023,16:57:55,3973
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,9,fat,boiling,NA,NA,8,5/8/2023,16:57:58,2934
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,10,room,suite,a,a,3,5/8/2023,16:58:01,2415
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,11,strawberry,sauce,NA,NA,3,5/8/2023,16:58:03,1775
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,12,dictionary,publisher,a,a,2,5/8/2023,16:58:07,3549
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,13,giant,sandwich,a,a,3,5/8/2023,16:58:10,1879
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,14,riding,toy,a,a,3,5/8/2023,16:58:12,2101
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,15,purple,truck,a,a,3,5/8/2023,16:58:15,2014
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,16,water,bud,a,a,8,5/8/2023,16:58:17,2471
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,17,baby,pool,a,a,2,5/8/2023,16:58:21,2664
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,18,kid,one,a,a,8,5/8/2023,16:58:23,2079
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,19,green,leaf,a,a,6,5/8/2023,16:58:26,2828
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,20,back,side,a,a,2,5/8/2023,16:58:31,4736
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,21,NA,NA,NA,NA,5,5/8/2023,16:58:33,1660
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,22,wet,shoe,a,a,3,5/8/2023,16:58:36,2605
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,23,mommy,honey,NA,NA,1,5/8/2023,16:58:40,2905
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,24,person,green,NA,NA,8,5/8/2023,16:58:43,2478
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,25,turkey,sty,a,a,1,5/8/2023,16:58:47,3864
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,26,person,person,a,a,8,5/8/2023,16:58:49,2021
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,27,fridge,magnet,a,a,3,5/8/2023,16:58:52,2293
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,28,yellow,costume,a,a,2,5/8/2023,16:58:55,2225
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,29,gas,cooker,a,a,3,5/8/2023,16:58:58,3256
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,30,mother,alligator,an,a,3,5/8/2023,16:59:01,2005
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,31,top,pop,a,a,8,5/8/2023,16:59:04,3287
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,32,oval,triangle,a,an,1,5/8/2023,16:59:08,2806
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,33,green,tomato,a,a,4,5/8/2023,16:59:10,2329
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,34,red,horse,a,a,1,5/8/2023,16:59:13,2097
0958-c85d7f31-7983-49f8-a7c5-d5d289adc3fe,30,35,light,switch,a,a,3,5/8/2023,16:59:15,1848
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,0,dead,ornament,an,a,2,5/8/2023,19:27:09,15770
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,1,pigeon,shit,NA,NA,3,5/8/2023,19:27:15,5762
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,2,apple,slice,a,an,3,5/8/2023,19:27:19,3468
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,3,wet,girl,a,a,3,5/8/2023,19:27:22,2739
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,4,candy,machine,a,a,3,5/8/2023,19:27:26,3692
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,5,weenie,hair,NA,NA,8,5/8/2023,19:27:35,8550
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,6,jam,pot,a,a,3,5/8/2023,19:27:38,2972
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,7,lighting,hallway,a,a,3,5/8/2023,19:27:41,2633
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,8,music,toy,a,a,3,5/8/2023,19:27:45,3177
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,9,kitchen,counter,a,a,3,5/8/2023,19:27:51,5180
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,10,green,slide,a,a,3,5/8/2023,19:27:55,4028
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,11,steam,shovel,a,a,2,5/8/2023,19:28:00,4244
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,12,boy,glass,a,a,3,5/8/2023,19:28:09,8732
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,13,baby,hippo,a,a,3,5/8/2023,19:28:14,5075
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,14,carrot,stick,a,a,3,5/8/2023,19:28:17,2420
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,15,sleeve,shirt,a,a,3,5/8/2023,19:28:22,3933
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,16,key,engine,an,a,8,5/8/2023,19:28:28,6141
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,17,goods,shop,a,a,6,5/8/2023,19:28:35,6077
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,18,file,drawer,a,a,3,5/8/2023,19:28:42,6704
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,19,cat,flap,a,a,2,5/8/2023,19:28:48,6092
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,20,scribble,scribble,a,a,8,5/8/2023,19:28:51,2889
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,21,dirty,daddy,a,a,3,5/8/2023,19:28:55,3502
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,22,solid,smack,a,a,3,5/8/2023,19:29:02,5943
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,23,cook,dinner,a,a,3,5/8/2023,19:29:11,8820
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,24,balloon,streamer,a,a,3,5/8/2023,19:29:18,6929
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,25,foot,length,a,a,3,5/8/2023,19:29:23,4452
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,26,dead,skin,NA,NA,3,5/8/2023,19:29:28,4093
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,27,sidewalk,chalk,NA,NA,3,5/8/2023,19:29:33,4677
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,28,hummingbird,hum,a,a,8,5/8/2023,19:29:36,3308
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,29,nanny,water,NA,NA,8,5/8/2023,19:29:44,6714
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,30,brush,brush,a,a,8,5/8/2023,19:29:46,2354
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,31,fat,bunny,a,a,3,5/8/2023,19:29:50,3588
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,32,apple,tea,NA,NA,3,5/8/2023,19:29:53,2732
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,33,dirty,foot,a,a,3,5/8/2023,19:29:57,2743
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,34,record,run,a,a,2,5/8/2023,19:30:01,3563
5768-9f6eb0a3-aa88-4e93-9b4d-1f6558f7e8f6,145,35,NA,NA,NA,NA,5,5/8/2023,19:30:03,2438
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,0,seaside,cart,a,a,2,5/8/2023,20:00:16,70874
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,1,round,globe,a,a,7,5/8/2023,20:00:20,3081
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,2,purple,onion,an,a,3,5/8/2023,20:00:24,3581
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,3,red,cookie,a,a,1,5/8/2023,20:00:28,4087
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,4,school,teacher,a,a,6,5/8/2023,20:00:33,4141
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,5,dirty,water,NA,NA,3,5/8/2023,20:00:36,2425
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,6,curling,brush,a,a,2,5/8/2023,20:00:39,2845
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,7,girl,kiss,a,a,5,5/8/2023,20:00:42,2996
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,8,brown,dirt,NA,NA,7,5/8/2023,20:00:45,2761
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,9,dark,light,a,a,8,5/8/2023,20:00:50,4297
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,10,circus,tent,a,a,2,5/8/2023,20:00:53,2249
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,11,hot,macaroni,NA,NA,6,5/8/2023,20:00:56,2639
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,12,dark,green,NA,NA,3,5/8/2023,20:01:01,4295
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,13,honey,mommy,a,a,8,5/8/2023,20:01:04,2451
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,14,cinnamon,stick,a,a,2,5/8/2023,20:01:06,1932
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,15,ham,salad,a,a,1,5/8/2023,20:01:10,3895
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,16,roast,lamb,a,a,5,5/8/2023,20:01:13,2747
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,17,school,girl,a,a,3,5/8/2023,20:01:17,3321
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,18,crispy,worm,a,a,1,5/8/2023,20:01:22,4362
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,19,gold,weaver,a,a,1,5/8/2023,20:01:27,5217
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,20,yellow,hoop,a,a,3,5/8/2023,20:01:30,2056
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,21,eleven,square,a,an,8,5/8/2023,20:01:33,2321
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,22,honey,pie,a,a,1,5/8/2023,20:01:35,1828
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,23,house,person,a,a,8,5/8/2023,20:01:39,4085
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,24,pencil,show,a,a,1,5/8/2023,20:01:42,2020
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,25,arrow,sign,a,an,3,5/8/2023,20:01:45,2901
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,26,track,suit,a,a,2,5/8/2023,20:01:48,2317
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,27,train,gate,a,a,2,5/8/2023,20:01:50,2025
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,28,red,notebook,a,a,3,5/8/2023,20:01:52,1619
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,29,brother,drive,a,a,2,5/8/2023,20:01:57,3895
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,30,NA,NA,NA,NA,5,5/8/2023,20:01:59,1954
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,31,oak,chest,a,an,4,5/8/2023,20:02:04,4405
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,32,navy,skirt,a,a,3,5/8/2023,20:02:06,2093
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,33,pink,robe,a,a,4,5/8/2023,20:02:10,2921
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,34,thick,eyelash,an,a,3,5/8/2023,20:02:13,3160
7058-f9d63c6a-7c94-4555-9b05-a9347bed93ec,36,35,slide,leg,a,a,2,5/8/2023,20:02:18,4528
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,0,cellar,door,a,a,2,5/8/2023,20:56:17,3891
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,1,maple,bar,a,a,3,5/8/2023,20:56:23,4636
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,2,motorway,bridge,a,a,2,5/8/2023,20:56:26,3374
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,3,block,tree,a,a,8,5/8/2023,20:56:30,3082
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,4,NA,NA,NA,NA,5,5/8/2023,20:56:34,4130
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,5,cardboard,box,a,a,4,5/8/2023,20:56:38,3036
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,6,slap,clap,a,a,8,5/8/2023,20:56:41,2420
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,7,molar,coaster,a,a,8,5/8/2023,20:56:44,3133
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,8,freezing,road,a,a,1,5/8/2023,20:56:49,4658
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,9,knee,honey,NA,NA,8,5/8/2023,20:56:53,3166
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,10,orange,tea,NA,NA,2,5/8/2023,20:56:56,3089
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,11,statue,toy,a,a,1,5/8/2023,20:57:00,3492
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,12,crispy,brown,NA,NA,1,5/8/2023,20:57:04,3065
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,13,web,shooter,a,a,2,5/8/2023,20:57:09,4821
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,14,purple,bed,a,a,2,5/8/2023,20:57:12,2427
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,15,flat,fish,a,a,8,5/8/2023,20:57:15,3045
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,16,heel,boot,a,a,8,5/8/2023,20:57:20,4073
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,17,wastepaper,basket,a,a,3,5/8/2023,20:57:25,4386
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,18,snow,leopard,a,a,3,5/8/2023,20:57:29,3867
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,19,back,flip,a,a,2,5/8/2023,20:57:32,3029
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,20,cock,bird,a,a,8,5/8/2023,20:57:38,4765
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,21,purple,cup,a,a,2,5/8/2023,20:57:42,3678
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,22,peach,juice,NA,NA,2,5/8/2023,20:57:45,2678
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,23,sweet,chocolate,NA,NA,3,5/8/2023,20:57:48,2861
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,24,dark,line,a,a,2,5/8/2023,20:57:51,3018
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,25,brown,egg,an,a,4,5/8/2023,20:57:56,4314
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,26,train,ride,a,a,3,5/8/2023,20:58:00,3811
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,27,red,room,a,a,2,5/8/2023,20:58:04,3401
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,28,red,coral,NA,NA,2,5/8/2023,20:58:07,2330
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,29,dirty,tissue,a,a,3,5/8/2023,20:58:11,3295
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,30,house,shoe,a,a,2,5/8/2023,20:58:15,3404
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,31,orange,glasses,NA,NA,2,5/8/2023,20:58:18,2844
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,32,orange,tube,a,an,2,5/8/2023,20:58:21,2910
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,33,dead,minty,a,a,8,5/8/2023,20:58:26,4172
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,34,explorer,suit,a,an,3,5/8/2023,20:58:35,8764
8430-7c88f661-1121-42c0-b313-cf500f0eddcb,67,35,glass,table,a,a,4,5/8/2023,20:58:39,3461
1318-c759fab4-0a83-43ac-93f5-4c704c0c054a,59,0,colored,paper,a,a,5,5/8/2023,20:53:48,4113
1318-c759fab4-0a83-43ac-93f5-4c704c0c054a,59,1,trash,truck,a,a,5,5/8/2023,20:53:51,2768
